"Milk supply and dairy production by dairy factories"
""
"";"Topic"
"";"Milk supply|Volume";"Milk supply|Fat content";"Milk supply|Protein content";"Dairy production|Butter";"Dairy production|Cheese";"Dairy production|Milk powder|Total Milk powder";"Dairy production|Milk powder|Whole milk powder";"Dairy production|Milk powder|Skimmed-milk powder";"Dairy production|Concentrated milk";"Dairy production|Whey powder"
"Periods";"1 000 kg";"%";"%";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"2010 December";"963794";"4.67";"3.63";"11642";"64520";"17847";"12158";"5689";"32037";"."
"2010";"11626,123";"4.42";"3.52";"133419";"752638";"199087";"135457";"63630";"347285";"."
"2011 January";"996942";"4.56";"3.57";"12130";"65490";"17666";"11265";"6402";"28106";"."
"2011 February";"913932";"4.52";"3.53";"10194";"58800";"14758";"10504";"4254";"29770";"."
"2011 March";"1006,645";"4.52";"3.53";"10427";"66373";"17414";"13170";"4245";"30161";"."
"2011 April";"1009,174";"4.39";"3.47";"10274";"63096";"16407";"10848";"5559";"31287";"."
"2011 May";"1029,062";"4.28";"3.46";"11098";"65061";"17164";"10900";"6264";"32218";"."
"2011 June";"981391";"4.25";"3.45";"11152";"59361";"16260";"11075";"5185";"28895";"."
"2011 July";"988024";"4.22";"3.44";"11067";"61771";"17517";"11147";"6370";"29707";"."
"2011 August";"955778";"4.26";"3.46";"11260";"62358";"15609";"10708";"4901";"28440";"."
"2011 September";"910081";"4.31";"3.49";"9950";"58884";"12094";"8575";"3520";"28556";"."
"2011 October";"941301";"4.41";"3.56";"10038";"62191";"15983";"11092";"4891";"25948";"."
"2011 November";"918202";"4.53";"3.63";"8599";"61371";"14341";"10427";"3914";"28024";"."
"2011 December";"991187";"4.53";"3.55";"12799";"64924";"17964";"11742";"6222";"33308";"."
"2012 January";"1023,015";"4.48";"3.57";"12917";"65821";"18948";"11954";"6994";"29767";"."
"2012 February";"944916";"4.59";"3.60";"12386";"61730";"14905";"9372";"5533";"30523";"."
"2012 March";"1037,702";"4.46";"3.53";"13818";"66103";"17169";"11442";"5728";"27959";"."
"2012 April";"998315";"4.43";"3.52";"11894";"63307";"16903";"10860";"6043";"32211";"."
"2012 May";"1024,366";"4.32";"3.47";"14113";"65235";"16033";"10082";"5951";"31201";"."
"2012 June";"984161";"4.25";"3.45";"10485";"61677";"13781";"8793";"4988";"30204";"."
"2012 July";"976527";"4.20";"3.43";"10531";"63889";"15704";"10070";"5634";"31472";"."
"2012 August";"948758";"4.21";"3.44";"9228";"62941";"14555";"8936";"5619";"31853";"."
"2012 September";"907765";"4.32";"3.52";"8083";"61398";"13101";"8461";"4640";"30030";"."
"2012 October";"931754";"4.49";"3.60";"8493";"64164";"14056";"9712";"4344";"32547";"."
"2012 November";"914765";"4.53";"3.61";"8000";"61758";"14405";"9608";"4796";"30794";"."
"2012 December";"983403";"4.54";"3.60";"13338";"66136";"17407";"11848";"5560";"32713";"."
"2013 January";"1021,883";"4.51";"3.56";"11292";"67314";"16385";"11284";"5101";"31450";"."
"2013 February";"940192";"4.54";"3.57";"10896";"60698";"14763";"9623";"5140";"30999";"."
"2013 March";"1039,943";"4.56";"3.57";"13429";"66749";"17515";"11711";"5804";"29381";"."
"2013 April";"1013,705";"4.50";"3.53";"13139";"65792";"15936";"10209";"5728";"29476";"."
"2013 May";"1081,899";"4.34";"3.49";"12521";"68310";"17687";"11926";"5760";"31923";"."
"2013 June";"1017,690";"4.27";"3.46";"10714";"63832";"15178";"10393";"4785";"30304";"."
"2013 July";"1049,763";"4.18";"3.42";"9549";"66942";"16566";"11133";"5433";"29662";"."
"2013 August";"1043,246";"4.17";"3.42";"11144";"66674";"15753";"9305";"6449";"30510";"."
"2013 September";"986107";"4.30";"3.52";"7821";"64660";"14638";"10121";"4517";"26667";"."
"2013 October";"1011,405";"4.42";"3.60";"10476";"69005";"15673";"9959";"5714";"26508";"."
"2013 November";"970148";"4.50";"3.61";"9239";"65495";"14161";"9267";"4893";"31696";"."
"2013 December";"1036,711";"4.51";"3.59";"13236";"68046";"19398";"13360";"6038";"31774";"."
"2014 January";"1073,921";"4.46";"3.54";"13327";"69003";"17984";"12407";"5577";"32336";"."
"2014 February";"980185";"4.47";"3.53";"13394";"61278";"16334";"10844";"5490";"31323";"."
"2014 March";"1084,192";"4.44";"3.51";"13854";"66901";"19168";"12852";"6316";"28436";"."
"2014 April";"1081,728";"4.37";"3.48";"12708";"65522";"19108";"13478";"5631";"32540";"."
"2014 May";"1094,417";"4.28";"3.48";"11907";"67065";"20131";"13907";"6223";"32040";"."
"2014 June";"1045,568";"4.18";"3.45";"10433";"62113";"16928";"11750";"5178";"34451";"."
"2014 July";"1051,622";"4.15";"3.41";"10733";"67011";"16150";"10873";"5277";"33493";"."
"2014 August";"1036,470";"4.18";"3.45";"11152";"63666";"15226";"9853";"5373";"30146";"."
"2014 September";"998215";"4.26";"3.54";"9977";"61261";"14712";"10351";"4361";"30431";"."
"2014 October";"1015,984";"4.36";"3.57";"9926";"63883";"14747";"10200";"4547";"32987";"."
"2014 November";"977125";"4.44";"3.60";"10386";"60142";"14767";"10083";"4684";"30412";"."
"2014 December";"1033,595";"4.52";"3.60";"12727";"64096";"19506";"13084";"6423";"33600";"."
"2015 January";"1051,819";"4.51";"3.56";"13036";"67160";"17233";"10931";"6303";"29521";"."
"2015 February";"954307";"4.52";"3.55";"11298";"60462";"13782";"7823";"5959";"34251";"."
