date,rain,mintp,maxtp,soil,milk,fat,pro,year,month
2016-01-01,8.119354838709677,3.6129032258064515,8.596774193548388,5.921774193548386,147.6,4.17,3.32,2016,January
2016-02-01,5.203448275862069,1.9551724137931035,8.062068965517241,5.241379310344827,287.1,4.24,3.31,2016,February
2016-03-01,2.7225806451612904,3.0258064516129033,9.141935483870967,6.422580645161291,594.6,4.15,3.22,2016,March
2016-04-01,3.4433333333333334,3.8266666666666667,10.853333333333333,8.404166666666667,760.8,4.0,3.27,2016,April
2016-05-01,2.7548387096774194,8.125806451612904,15.73225806451613,13.405645161290321,926.6,3.81,3.38,2016,May
2016-06-01,2.1866666666666665,10.860000000000001,17.84333333333333,16.5375,853.2,3.85,3.37,2016,June
2016-07-01,1.829032258064516,11.90967741935484,18.406451612903226,16.791129032258063,782.5,3.93,3.4,2016,July
2016-08-01,2.732258064516129,11.535483870967743,18.370967741935484,16.54032258064516,699.3,4.08,3.49,2016,August
2016-09-01,4.543333333333334,10.293333333333333,16.453333333333333,14.055833333333334,583.8,4.33,3.69,2016,September
2016-10-01,1.570967741935484,8.438709677419356,13.325806451612904,10.941935483870967,500.1,4.54,3.88,2016,October
2016-11-01,1.3566666666666667,3.0266666666666664,8.833333333333334,6.179166666666666,337.1,4.68,3.84,2016,November
2016-12-01,3.0387096774193547,5.003225806451613,9.738709677419354,6.912096774193548,178.3,4.4,3.53,2016,December
2017-01-01,3.5,4.103225806451613,8.541935483870969,6.023387096774194,148.7,4.15,3.34,2017,January
2017-02-01,4.046428571428572,3.667857142857143,9.389285714285714,6.502678571428571,272.9,4.22,3.35,2017,February
2017-03-01,3.7096774193548385,4.974193548387096,11.206451612903225,8.191129032258065,620.9,4.14,3.23,2017,March
2017-04-01,0.8200000000000001,5.7,12.316666666666666,10.379166666666666,866.3,3.9,3.36,2017,April
2017-05-01,1.9548387096774194,8.13225806451613,15.135483870967741,13.401612903225805,999.6,3.8,3.41,2017,May
2017-06-01,3.6333333333333333,10.566666666666666,17.459999999999997,16.141666666666666,917.9,3.86,3.4,2017,June
2017-07-01,1.941935483870968,11.383870967741935,19.225806451612904,17.22741935483871,875.3,3.9,3.42,2017,July
2017-08-01,2.329032258064516,10.903225806451612,17.774193548387096,15.454032258064515,786.6,4.08,3.54,2017,August
