"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","200912","2009 December","1","Milk (per litre), actual fat and protein","Euro","0.285"
"AJM07","Manufacturing Milk Prices (including VAT)","200912","2009 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.269"
"AJM07","Manufacturing Milk Prices (including VAT)","201001","2010 January","1","Milk (per litre), actual fat and protein","Euro","0.289"
"AJM07","Manufacturing Milk Prices (including VAT)","201001","2010 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","201002","2010 February","1","Milk (per litre), actual fat and protein","Euro","0.274"
"AJM07","Manufacturing Milk Prices (including VAT)","201002","2010 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.263"
"AJM07","Manufacturing Milk Prices (including VAT)","201003","2010 March","1","Milk (per litre), actual fat and protein","Euro","0.264"
"AJM07","Manufacturing Milk Prices (including VAT)","201003","2010 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.258"
"AJM07","Manufacturing Milk Prices (including VAT)","201004","2010 April","1","Milk (per litre), actual fat and protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","201004","2010 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","201005","2010 May","1","Milk (per litre), actual fat and protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","201005","2010 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.303"
"AJM07","Manufacturing Milk Prices (including VAT)","201006","2010 June","1","Milk (per litre), actual fat and protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","201006","2010 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.303"
"AJM07","Manufacturing Milk Prices (including VAT)","201007","2010 July","1","Milk (per litre), actual fat and protein","Euro","0.304"
"AJM07","Manufacturing Milk Prices (including VAT)","201007","2010 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","201008","2010 August","1","Milk (per litre), actual fat and protein","Euro","0.311"
"AJM07","Manufacturing Milk Prices (including VAT)","201008","2010 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.306"
"AJM07","Manufacturing Milk Prices (including VAT)","201009","2010 September","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201009","2010 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.317"
"AJM07","Manufacturing Milk Prices (including VAT)","201010","2010 October","1","Milk (per litre), actual fat and protein","Euro","0.353"
"AJM07","Manufacturing Milk Prices (including VAT)","201010","2010 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201011","2010 November","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201011","2010 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","201012","2010 December","1","Milk (per litre), actual fat and protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201012","2010 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.327"
"AJM07","Manufacturing Milk Prices (including VAT)","201101","2011 January","1","Milk (per litre), actual fat and protein","Euro","0.35"
"AJM07","Manufacturing Milk Prices (including VAT)","201101","2011 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.337"
"AJM07","Manufacturing Milk Prices (including VAT)","201102","2011 February","1","Milk (per litre), actual fat and protein","Euro","0.354"
"AJM07","Manufacturing Milk Prices (including VAT)","201102","2011 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.341"
"AJM07","Manufacturing Milk Prices (including VAT)","201103","2011 March","1","Milk (per litre), actual fat and protein","Euro","0.335"
"AJM07","Manufacturing Milk Prices (including VAT)","201103","2011 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.325"
"AJM07","Manufacturing Milk Prices (including VAT)","201104","2011 April","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201104","2011 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","201105","2011 May","1","Milk (per litre), actual fat and protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201105","2011 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.331"
"AJM07","Manufacturing Milk Prices (including VAT)","201106","2011 June","1","Milk (per litre), actual fat and protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","201106","2011 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.344"
"AJM07","Manufacturing Milk Prices (including VAT)","201107","2011 July","1","Milk (per litre), actual fat and protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201107","2011 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.344"
"AJM07","Manufacturing Milk Prices (including VAT)","201108","2011 August","1","Milk (per litre), actual fat and protein","Euro","0.356"
"AJM07","Manufacturing Milk Prices (including VAT)","201108","2011 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201109","2011 September","1","Milk (per litre), actual fat and protein","Euro","0.381"
"AJM07","Manufacturing Milk Prices (including VAT)","201109","2011 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.365"
"AJM07","Manufacturing Milk Prices (including VAT)","201110","2011 October","1","Milk (per litre), actual fat and protein","Euro","0.4"
"AJM07","Manufacturing Milk Prices (including VAT)","201110","2011 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.372"
"AJM07","Manufacturing Milk Prices (including VAT)","201111","2011 November","1","Milk (per litre), actual fat and protein","Euro","0.409"
"AJM07","Manufacturing Milk Prices (including VAT)","201111","2011 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.385"
"AJM07","Manufacturing Milk Prices (including VAT)","201112","2011 December","1","Milk (per litre), actual fat and protein","Euro","0.384"
"AJM07","Manufacturing Milk Prices (including VAT)","201112","2011 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.367"
"AJM07","Manufacturing Milk Prices (including VAT)","201201","2012 January","1","Milk (per litre), actual fat and protein","Euro","0.375"
